SubNo,BlkNo,Trty,Resp,Cor,RT,Congru
2,7,2,Z,1,302.571,2
2,7,1,Z,1,302.507,1
2,7,1,Z,1,322.003,1
2,7,1,Z,1,365.578,1
2,7,1,Z,1,311.19,1
2,7,1,Z,1,246.066,1
2,7,2,Z,1,404.071,2
2,7,3,/,1,325.479,1
2,7,4,/,1,361.257,2
2,7,3,/,1,267.457,1
2,7,4,/,1,325.172,2
2,7,3,/,1,265.772,1
2,7,2,Z,1,362.207,2
2,7,3,/,1,333.114,1
2,7,3,/,1,302.157,1
2,7,2,Z,1,343.64,2
2,7,1,Z,1,315.551,1
2,7,4,/,1,282.501,2
2,7,4,/,1,394.59,2
2,7,3,/,1,275.403,1
2,7,1,Z,1,299.619,1
2,7,1,Z,1,287.444,1
2,7,4,/,1,296.42,2
2,7,1,Z,1,295.349,1
2,7,4,/,1,299.78,2
2,7,2,Z,1,345.718,2
2,7,3,/,1,374.515,1
2,7,4,/,1,355.684,2
2,7,2,Z,1,413.152,2
2,7,4,/,1,331.291,2
2,7,2,Z,1,516.376,2
2,7,3,/,1,423.952,1
2,7,4,/,1,347.332,2
2,7,3,/,1,265.54,1
2,7,4,/,1,301.82,2
2,7,2,Z,1,326.153,2
2,7,2,Z,1,616.016,2
2,7,3,/,1,520.091,1
2,8,1,Z,1,532.379,1
2,8,2,Z,1,328.885,2
2,8,2,Z,1,335.282,2
2,8,1,Z,1,307.138,1
2,8,3,/,1,263.798,1
2,8,3,/,1,259.507,1
2,8,2,Z,1,271.635,2
2,8,1,Z,1,284.568,1
2,8,4,/,1,321.147,2
2,8,3,/,1,283.545,1
2,8,1,Z,1,372.302,1
2,8,1,Z,1,317.754,1
2,8,4,/,1,406.044,2
2,8,3,/,1,306.407,1
2,8,2,Z,1,336.492,2
2,8,1,Z,1,279.092,1
2,8,1,Z,1,253.701,1
2,8,2,Z,1,257.581,2
2,8,3,/,1,429.135,1
2,8,2,Z,1,314.704,2
2,8,3,/,1,297.679,1
2,8,4,/,1,338.6,2
2,8,4,/,1,340.32,2
2,8,2,Z,1,302.55,2
2,8,4,/,1,321.067,2
2,8,4,/,1,357.451,2
2,8,1,Z,1,306.74,1
2,8,1,Z,1,350.025,1
2,8,3,/,1,276.043,1
2,8,2,Z,1,348.779,2
2,8,4,/,1,388.438,2
2,8,4,/,1,362.967,2
2,8,3,/,1,339.803,1
2,8,3,/,1,294.12,1
2,8,4,/,1,357.375,2
2,8,1,Z,1,335.288,1
2,8,3,/,1,344.164,1
2,8,2,Z,1,320.079,2
2,9,2,Z,1,416.692,2
2,9,4,/,1,380.828,2
2,9,4,/,1,310.758,2
2,9,4,/,1,329.1,2
2,9,2,Z,1,349.002,2
2,9,4,/,1,381.668,2
2,9,2,Z,1,396.833,2
2,9,1,Z,1,376.931,1
2,9,3,/,1,313.828,1
2,9,2,Z,1,365.726,2
2,9,2,Z,1,324.028,2
2,9,3,/,1,334.242,1
2,9,2,Z,1,401.654,2
2,9,4,/,1,379.802,2
2,9,4,/,1,308.252,2
2,9,3,/,1,294.706,1
2,9,3,/,1,343.074,1
2,9,1,Z,1,323.508,1
2,9,3,/,1,297.701,1
2,9,3,/,1,313.866,1
2,9,4,/,1,386.938,2
2,9,1,Z,1,336.311,1
2,9,1,Z,1,338.091,1
2,9,1,Z,1,321.931,1
2,9,4,/,1,342.195,2
2,9,2,Z,1,344.055,2
2,9,4,/,1,418.283,2
2,9,2,Z,1,342.985,2
2,9,2,Z,1,332.993,2
2,9,1,Z,1,279.827,1
2,9,3,/,1,447.901,1
2,9,3,/,1,324.571,1
2,9,1,Z,1,365.295,1
2,9,1,Z,1,311.903,1
2,9,1,Z,1,427.546,1
2,9,2,Z,1,390.023,2
2,9,3,/,1,307.961,1
2,9,4,/,1,369.637,2
2,9,3,/,1,307.743,1
2,10,4,/,1,344.65,2
2,10,3,/,1,258.195,1
2,10,1,Z,1,469.944,1
2,10,2,Z,1,319.322,2
2,10,3,/,1,313.959,1
2,10,2,Z,1,341.942,2
2,10,1,Z,1,332.65,1
2,10,3,/,1,261.632,1
2,10,4,/,1,384.734,2
2,10,1,Z,1,300.39,1
2,10,2,Z,1,292.546,2
2,10,3,/,1,306.113,1
2,10,3,/,1,265.222,1
2,10,4,/,1,364.052,2
2,10,1,Z,1,282.157,1
2,10,2,Z,1,315.039,2
2,10,2,Z,1,318.429,2
2,10,4,/,1,317.207,2
2,10,4,/,1,305.305,2
2,10,1,Z,1,344.231,1
2,10,3,/,1,296.467,1
2,10,4,/,1,320.524,2
2,10,3,/,1,300.373,1
2,10,2,Z,1,357.944,2
2,10,1,Z,1,313.593,1
2,10,4,/,1,306.116,2
2,10,3,/,1,267.132,1
2,10,1,Z,1,482.176,1
2,10,4,/,1,324.137,2
2,10,4,/,1,321.254,2
2,10,2,Z,1,317.388,2
2,10,1,Z,1,284.579,1
2,10,2,Z,1,300.646,2
2,10,3,/,1,324.536,1
2,10,4,/,1,351.51,2
2,10,2,Z,1,380.816,2
2,10,1,Z,1,290.157,1
2,10,1,Z,1,248.46,1
2,10,3,/,1,282.808,1
2,11,4,/,1,340.143,2
2,11,2,Z,1,324.005,2
2,11,2,Z,1,343.489,2
2,11,2,Z,1,342.373,2
2,11,4,/,1,394.444,2
2,11,2,Z,1,362.275,2
2,11,1,Z,1,302.69,1
2,11,3,/,1,302.835,1
2,11,4,/,1,339.31,2
2,11,3,/,1,278.05,1
2,11,4,/,1,347.459,2
2,11,3,/,1,254.782,1
2,11,1,Z,1,271.723,1
2,11,4,/,1,366.943,2
2,11,2,Z,1,321.704,2
2,11,3,/,1,620.661,1
2,11,2,Z,1,317.431,2
2,11,1,Z,1,304.628,1
2,11,2,Z,1,352.251,2
2,11,1,Z,1,297.401,1
2,11,2,Z,1,284.573,2
2,11,4,/,1,299.858,2
2,11,4,/,1,305.436,2
2,11,3,/,1,273.373,1
2,11,2,Z,1,325.603,2
2,11,4,/,1,330.23,2
2,11,1,Z,1,493.145,1
2,11,1,Z,1,290.18,1
2,11,1,Z,1,278.608,1
2,11,4,/,1,310.158,2
2,11,3,/,1,306.302,1
2,11,3,/,1,289.694,1
2,11,3,/,1,271.316,1
2,11,3,/,1,254.783,1
2,11,1,Z,1,311.945,1
2,11,1,Z,1,266.893,1
2,11,2,Z,1,283.74,2
2,11,4,/,1,295.752,2
2,11,3,/,1,300.854,1
2,11,1,Z,1,308.86,1
2,12,1,Z,1,293.854,1
2,12,4,/,1,344.571,2
2,12,1,Z,1,338.948,1
2,12,1,Z,1,315.871,1
2,12,2,Z,1,394.357,2
2,12,2,Z,1,344.506,2
2,12,3,/,1,299.21,1
2,12,2,Z,1,353.761,2
2,12,4,/,1,351.92,2
2,12,4,/,1,325.901,2
2,12,4,/,1,381.329,2
2,12,2,Z,1,337.316,2
2,12,4,/,1,309.395,2
2,12,2,Z,1,338.026,2
2,12,2,Z,1,313.985,2
2,12,3,/,1,382.27,1
2,12,2,Z,1,443.99,2
2,12,3,/,1,393.193,1
2,12,3,/,1,308.067,1
2,12,3,/,1,282.485,1
2,12,2,Z,1,350.602,2
2,12,1,Z,1,307.316,1
2,12,3,/,1,397.489,1
2,12,4,/,1,420.71,2
2,12,3,/,1,287.594,1
2,12,1,Z,1,304.118,1
2,12,4,/,1,342.166,2
2,12,3,/,1,288.407,1
2,12,3,/,1,374.13,1
2,12,1,Z,1,313.878,1
2,12,1,Z,1,364.771,1
2,12,2,Z,1,365.268,2
2,12,4,/,1,356.937,2
2,12,2,Z,1,338.89,2
2,12,1,Z,1,349.288,1
2,12,4,/,1,325.401,2
2,12,1,Z,1,398.266,1
3,2,3,/,1,489.386,1
3,2,3,/,1,628.678,1
3,2,1,Z,1,311.234,1
3,2,4,/,1,816.937,2
3,2,4,/,1,562.901,2
3,2,3,/,1,684.875,1
3,2,2,Z,1,618.023,2
3,2,2,Z,1,779.592,2
3,2,2,Z,1,876.582,2
3,2,4,/,1,807.454,2
3,2,1,Z,1,748.955,1
3,2,4,/,1,641.019,2
3,2,3,/,1,983.599,1
3,2,1,Z,1,504.926,1
3,2,2,Z,1,542.815,2
3,2,1,Z,1,596.81,1
3,2,2,Z,1,476.504,2
3,2,1,Z,1,626.421,1
3,2,3,/,1,580.839,1
3,2,1,Z,1,468.985,1
3,2,1,Z,1,735.988,1
3,2,3,/,1,565.434,1
3,2,2,Z,1,847.476,2
3,2,4,/,1,956.25,2
3,2,1,Z,1,509.984,1
3,2,2,Z,1,596.222,2
3,2,3,/,1,543.29,1
3,2,3,/,1,807.818,1
3,2,3,/,1,490.983,1
3,2,2,Z,1,506.565,2
3,2,4,/,1,730.512,2
3,2,2,Z,1,520.226,2
3,2,3,/,1,550.714,1
3,2,1,Z,1,526.877,1
3,2,4,/,1,810.931,2
3,2,2,Z,1,869.927,2
3,2,4,/,1,629.163,2
3,2,1,Z,1,599.417,1
3,3,2,Z,1,452.832,2
3,3,3,/,1,341.496,1
3,3,4,/,1,838.73,2
3,3,4,/,1,410.769,2
3,3,1,Z,1,432.242,1
3,3,1,Z,1,545.314,1
3,3,2,Z,1,489.464,2
3,3,3,/,1,286.055,1
3,3,3,/,1,481.082,1
3,3,1,Z,1,254.127,1
3,3,3,/,1,266.047,1
3,3,4,/,1,631.577,2
3,3,1,Z,1,260.481,1
3,3,1,Z,1,359.618,1
3,3,2,Z,1,556.18,2
3,3,4,/,1,297.84,2
3,3,2,Z,1,527.866,2
3,3,3,/,1,445.074,1
3,3,4,/,1,488.784,2
3,3,1,Z,1,460.346,1
3,3,3,/,1,428.031,1
3,3,1,Z,1,607.439,1
3,3,2,Z,1,451.266,2
3,3,2,Z,1,407.13,2
3,3,3,/,1,435.028,1
3,3,2,Z,1,544.001,2
3,3,2,Z,1,377.727,2
3,3,2,Z,1,365.173,2
3,3,1,Z,1,388.268,1
3,3,4,/,1,425.59,2
3,3,4,/,1,411.888,2
3,3,3,/,1,543.099,1
3,3,3,/,1,292.925,1
3,3,2,Z,1,452.34,2
3,3,4,/,1,489.483,2
3,3,1,Z,1,687.194,1
3,3,3,/,1,334.345,1
3,3,1,Z,1,290.557,1
3,4,2,Z,1,728.97,2
3,4,1,Z,1,437.904,1
3,4,3,/,1,264.775,1
3,4,4,/,1,516.432,2
3,4,3,/,1,377.298,1
3,4,1,Z,1,380.284,1
3,4,2,Z,1,620.019,2
3,4,3,/,1,522.519,1
3,4,4,/,1,481.32,2
3,4,4,/,1,418.544,2
3,4,1,Z,1,536.42,1
3,4,2,Z,1,555.196,2
3,4,3,/,1,411.192,1
3,4,3,/,1,508.455,1
3,4,1,Z,1,503.86,1
3,4,4,/,1,449.916,2
3,4,1,Z,1,349.242,1
3,4,4,/,1,429.006,2
3,4,2,Z,1,408.989,2
3,4,2,Z,1,388.195,2
3,4,2,Z,1,380.545,2
3,4,2,Z,1,379.447,2
3,4,3,/,1,623.731,1
3,4,4,/,1,459.672,2
3,4,3,/,1,442.294,1
3,4,4,/,1,498.772,2
3,4,1,Z,1,458.912,1
3,4,1,Z,1,436.805,1
3,4,3,/,1,458.391,1
3,4,2,Z,1,496.144,2
3,4,4,/,1,758.587,2
3,4,3,/,1,480.812,1
3,4,1,Z,1,404.144,1
3,4,4,/,1,928.2,2
3,4,1,Z,1,375.194,1
3,4,1,Z,1,439.962,1
3,4,2,Z,1,499.19,2
3,5,4,/,1,382.548,2
3,5,1,Z,1,483.119,1
3,5,4,/,1,431.511,2
3,5,2,Z,1,461.121,2
3,5,2,Z,1,824.945,2
3,5,4,/,1,422.204,2
3,5,2,Z,1,714.385,2
3,5,4,/,1,654.72,2
3,5,3,/,1,548.966,1
